,Unnamed: 0.1,Unnamed: 0,Column1,Unnamed,lower_price,upper_price,cooking_type,country,state,county,postcode,chef,city,online_booking,restaurant_name,latitude,longitude,stars,sustainable,michelin_link,restaurant_website,monday,tuesday,wednesday,thursday,friday,saturday,sunday,days_open,wine_card,vegetarian,accessible,nice_view,Gebietseinheit,pretax_income,available_income,hourly_wage,classic,creative,modern,french,stars_cat,other
27,30,26,166,6,155.0,205.0,Kreativ,de,Saarland,Saarlouis,66740,Martin Stopp,Saarlouis,FALSCH,LOUIS restaurant,493172819,67552911,2,0,https://guide.michelin.com/de/de/saarland/saarlouis/restaurant/louis-restaurant,https://lamaison-hotel.de/,geschlossen,geschlossen,18:30-22:30,18:30-22:30,18:30-22:30,18:30-22:30,geschlossen,40,1,1,1,0,"Saarlouis, Landkreis",31849.0,22650.0,25.65,0,1,0,0,0,0
28,31,27,171,11,145.0,198.0,Französisch klassisch,de,Baden-Württemberg,Ortenaukreis,77740,Martin Herrmann,Bad Peterstal,FALSCH,Le Pavillon,484574092,82507048,2,0,https://guide.michelin.com/de/de/baden-wurttemberg/bad-peterstal/restaurant/le-pavillon83378,https://www.dollenberg.de,18:30-23:00,geschlossen,geschlossen,18:30-23:00,18:30-23:00,18:30-23:00,18:30-23:00,50,1,0,1,1,Ortenaukreis,34321.0,24531.0,27.17,1,0,0,1,0,0
29,32,28,174,14,160.0,250.0,Kreativ,de,Bayern,München,80331,Christoph Kunz,München,FALSCH,Alois - Dallmayr Fine Dining,481383054,115771585,2,0,https://guide.michelin.com/de/de/bayern/mnchen/restaurant/alois-dallmayr-fine-dining,https://www.dallmayr.com/de/delikatessenhaus/restaurant/,geschlossen,geschlossen,18:30-00:00,18:30-00:00,18:30-00:00,18:30-00:00,geschlossen,40,1,0,0,0,"München, Landeshauptstadt, Kreisfreie Stadt",50609.0,31859.0,38.09,0,1,0,0,0,0
30,34,29,178,18,110.0,195.0,Innovativ,de,Bayern,Nürnberg,90403,Andree Köthe,Nürnberg,FALSCH,Essigbrätlein,494550962,110748151,2,1,https://guide.michelin.com/de/de/bayern/nurnberg/restaurant/essigbratlein,https://essigbraetlein.de/,geschlossen,geschlossen,19:00-00:00,19:00-00:00,19:00-00:00,19:00-00:00,geschlossen,40,1,1,0,0,"Nürnberg, Kreisfreie Stadt",42366.0,23511.0,32.41,0,0,0,0,0,1
31,35,30,182,2,205.0,295.0,Kreativ,de,Saarland,Nennig,66706,Christian Bau,Perl,FALSCH,Victor's Fine Dining by christian bau,495351732,63872109,3,0,https://guide.michelin.com/de/de/saarland/perl/restaurant/victor-s-fine-dining-by-christian-bau,https://www.victors-fine-dining.de/,geschlossen,geschlossen,geschlossen,19:00-00:00,19:00-00:00,19:00-00:00,19:00-00:00,40,1,0,0,0,,31220.0,20312.0,25.16,0,1,0,0,1,0
32,36,31,194,14,189.0,229.0,Moderne Küche,de,Bayern,Garmisch-Partenkirchen,82493,Christoph Rainer,Krün,FALSCH,Luce d'Oro,474620032,111869112,2,0,https://guide.michelin.com/de/de/bayern/krn/restaurant/luce-d-oro,https://www.schloss-elmau.de/,geschlossen,geschlossen,19:00-23:00,19:00-23:00,19:00-23:00,19:00-23:00,geschlossen,40,1,0,0,0,"Garmisch-Partenkirchen, Landkreis",32044.0,25542.0,25.82,0,0,1,0,0,0
33,37,32,197,17,169.0,189.0,Moderne Küche,de,Hamburg,Hamburg,20354,Julian Stowasser,Hamburg,FALSCH,Lakeside,53565225,99980345,2,0,https://guide.michelin.com/de/de/hamburg-region/hamburg/restaurant/lakeside,https://www.thefontenay.com/restaurants-bar/lakeside-restaurant/,geschlossen,19:00-00:00,19:00-00:00,19:00-00:00,19:00-00:00,19:00-00:00,geschlossen,50,1,0,0,1,Hamburg,43567.0,25285.0,33.04,0,0,1,0,0,0
34,38,33,202,2,190.0,240.0,Französisch kreativ,de,Baden-Württemberg,Konstanz,78464,Dirk Hoberg,Konstanz,FALSCH,Ophelia,476671426,91874594,2,0,https://guide.michelin.com/de/de/baden-wurttemberg/konstanz/restaurant/ophelia,https://www.restaurant-ophelia.de/,19:00-20:00,geschlossen,geschlossen,19:00-20:00,19:00-20:00,19:00-20:00,19:00-20:00,50,0,0,0,1,"Konstanz, Landkreis",34439.0,25881.0,28.15,0,1,0,1,0,0
35,39,34,210,10,990.0,262.0,Kreativ,de,Sachsen,Leipzig,4105,Peter Maria Schnurr,Leipzig,FALSCH,Falco,513463665,123754206,2,0,https://guide.michelin.com/de/de/sachsen/leipzig/restaurant/falco,https://falco-leipzig.de/,geschlossen,18:00-22:00,18:00-22:00,18:00-22:00,18:00-22:00,18:00-22:00,geschlossen,50,1,0,0,1,"Leipzig, Kreisfreie Stadt",35472.0,20051.0,26.73,0,1,0,0,0,0
36,41,35,215,15,215.0,250.0,Französisch kreativ,de,Hamburg,Hamburg,20354,Christoph Rüffer,Hamburg,FALSCH,Haerlin,535554424,99914638,2,0,https://guide.michelin.com/de/de/hamburg-region/hamburg/restaurant/haerlin,https://restaurant-haerlin.de/de/,geschlossen,18:30-00:00,18:30-00:00,18:30-00:00,18:30-00:00,18:30-00:00,geschlossen,50,1,0,1,1,Hamburg,43567.0,25285.0,33.04,0,1,0,1,0,0
