,Unnamed: 0.1,Unnamed: 0,lower_price,upper_price,cooking_type,country,state,county,postcode,chef,city,online_booking,restaurant_name,latitude,longitude,stars,sustainable,michelin_link,restaurant_website,monday,tuesday,wednesday,thursday,friday,saturday,sunday,days_open,wine_card,vegetarian,accessible,nice_view,classic,creative,modern,french,stars_cat,other
771,57,17,205.0,235.0,Französisch kreativ,de,Bayern,,80333,,München,False,Atelier,48.1402487,11.5735681,2,0,https://guide.michelin.com/de/de/bayern/mnchen/restaurant/atelier-1198719,https://www.bayerischerhof.de/de/,,,,,,,,,1,0,1,0,0,1,0,1,0,0
773,59,19,215.0,245.0,Kreativ,de,Bayern,Landkreis Kulmbach,95339,Tobias Bätz,Wirsberg,False,AURA by Alexander Herrmann & Tobias Bätz,50.1073707,11.6069241,2,0,https://guide.michelin.com/de/de/bayern/wirsberg/restaurant/alexander-herrmann-by-tobias-batz,https://herrmanns-posthotel.de/gourmet-restaurant/,,,,,,,,,0,1,0,0,0,1,0,0,0,0
787,74,14,162.0,260.0,Moderne Küche,de,Rheinland-Pfalz,Landkreis Mayen-Koblenz,56626,Christian Eckhardt,Andernach,False,PURS,50.4389346,7.3973765,2,0,https://guide.michelin.com/de/de/rheinland-pfalz/andernach/restaurant/purs,https://purs.com/,,,,,,,,,1,0,0,0,0,0,1,0,0,0
789,77,17,150.0,335.0,Französisch klassisch,de,Baden-Württemberg,Landkreis Freudenstadt,72270,Claus-Peter Lumpp,Baiersbronn,False,Restaurant Bareiss,48.5205845,8.3269876,3,0,https://guide.michelin.com/de/de/baden-wurttemberg/baiersbronn/restaurant/restaurant-bareiss,https://www.bareiss.com/,geschlossen,geschlossen,19:00-23:00,19:00-23:00,19:00-23:00,19:00-23:00,19:00-23:00,5.0,1,1,1,0,1,0,0,1,1,0
802,90,10,119.0,169.0,Moderne Küche,de,Baden-Württemberg,Ortenaukreis,77977,Peter Hagen-Wiest,Rust,False,ammolite - The Lighthouse Restaurant,48.259724,7.7251226,2,0,https://guide.michelin.com/de/de/baden-wurttemberg/rust/restaurant/ammolite-the-lighthouse-restaurant,https://www.ammolite-restaurant.de/,geschlossen,geschlossen,19:00-00:00,19:00-00:00,19:00-00:00,19:00-00:00,19:00-00:00,5.0,0,1,1,0,0,0,1,0,0,0
803,91,11,147.0,225.0,Französisch klassisch,de,Saarland,Regionalverband Saarbrücken,66121,Klaus Erfort,Saarbrücken,False,GästeHaus Klaus Erfort,49.2295502,7.0076258,2,0,https://guide.michelin.com/de/de/saarland/saarbrucken/restaurant/gastehaus-klaus-erfort,https://www.gaestehaus-erfort.de/,19:00-21:30,19:00-21:30,19:00-21:30,19:00-21:30,19:00-21:30,geschlossen,geschlossen,5.0,1,0,1,0,1,0,0,1,0,0
804,92,12,52.0,165.0,Klassische Küche,de,Saarland,Regionalverband Saarbrücken,66111,Silio Del Fabro,Saarbrücken,False,Esplanade,49.2349097,6.9996028,2,0,https://guide.michelin.com/de/de/saarland/saarbrucken/restaurant/esplanade539722,https://www.esplanade-sb.de/,,,,,,,,,1,0,0,0,1,0,0,0,0,0
805,93,13,265.0,285.0,Moderne Küche,de,,,10115,Marco Müller,Berlin,False,Rutz,52.5283507,13.3860867,3,1,https://guide.michelin.com/de/de/berlin-region/berlin/restaurant/rutz,https://rutz-restaurant.de/,geschlossen,18:00-22:00,18:00-22:00,18:00-22:00,18:00-22:00,18:00-22:00,geschlossen,5.0,1,0,0,0,0,0,1,0,1,0
806,94,14,100.0,160.0,Französisch modern,de,Nordrhein-Westfalen,,48143,Frédéric Morel,Münster,False,Coeur D'Artichaut,51.9638925,7.6294251,2,0,https://guide.michelin.com/de/de/nordrhein-westfalen/munster/restaurant/coeur-d-artichaut,https://www.coeur-dartichaut.de/,geschlossen,geschlossen,18:30-23:30,18:30-23:30,18:30-23:30,18:30-23:30,12:00-16:00,5.0,0,0,0,0,0,0,1,1,0,0
826,114,14,215.0,245.0,Kreativ,de,Niedersachsen,,38440,Sven Elverfeld,Wolfsburg,False,Aqua,52.4331722,10.789999,3,0,https://guide.michelin.com/de/de/niedersachsen/wolfsburg/restaurant/aqua79029,http://www.restaurant-aqua.com,geschlossen,geschlossen,18:00-20:30,18:00-20:30,18:00-20:30,18:00-20:30,geschlossen,4.0,1,0,1,0,0,1,0,0,1,0
828,116,16,258.0,275.0,Französisch klassisch,de,Rheinland-Pfalz,Landkreis Bernkastel-Wittlich,54518,Clemens Rambichler,Dreis,False,Waldhotel Sonnora,49.9377323,6.8109342,3,0,https://guide.michelin.com/de/de/rheinland-pfalz/dreis/restaurant/waldhotel-sonnora,https://www.hotel-sonnora.de/,,,,,,,,,1,0,0,0,1,0,0,1,1,0
837,125,5,198.0,240.0,Klassische Küche,de,Schleswig-Holstein,Schleswig-Flensburg,24960,Dirk Luther,Glücksburg,False,Meierei Dirk Luther,54.8225486,9.4999203,2,0,https://guide.michelin.com/de/de/schleswig-holstein/glcksburg/restaurant/meierei-dirk-luther,https://www.alter-meierhof.de/,geschlossen,geschlossen,18:30-21:30,18:30-21:30,18:30-21:30,18:30-21:30,geschlossen,4.0,1,0,1,1,1,0,0,0,0,0
842,130,10,179.0,209.0,Moderne Küche,de,Baden-Württemberg,,68161,Dominik Paul,Mannheim,False,OPUS V,49.4858598,8.4699546,2,0,https://guide.michelin.com/de/de/baden-wurttemberg/mannheim/restaurant/opus-v,https://www.restaurant-opus-v.de/,geschlossen,geschlossen,geschlossen,18:00-23:00,18:00-23:00,18:00-23:00,geschlossen,3.0,1,0,1,1,0,0,1,0,0,0
846,135,15,115.0,178.0,Französisch modern,de,Rheinland-Pfalz,Landkreis Bernkastel-Wittlich,54498,Thomas Schanz,Piesport,False,schanz. restaurant.,49.8776003,6.9266002,3,0,https://guide.michelin.com/de/de/rheinland-pfalz/piesport/restaurant/schanz-restaurant,https://www.schanz-restaurant.de/de/,,,,,,,,,0,0,1,0,0,0,1,1,1,0
857,147,7,175.0,205.0,Kreativ,de,Baden-Württemberg,,70599,Stefan Gschwendtner,Stuttgart,False,Speisemeisterei,48.7128772,9.2135508,2,0,https://guide.michelin.com/de/de/baden-wurttemberg/stuttgart/restaurant/speisemeisterei,https://www.speisemeisterei.de/,18:30-23:00,geschlossen,geschlossen,18:30-23:00,18:30-23:00,18:30-23:00,18:30-23:00,5.0,0,0,1,0,0,1,0,0,0,0
860,150,10,260.0,295.0,Kreativ,de,Nordrhein-Westfalen,Rheinisch-Bergischer Kreis,51429,Joachim Wissler,Bergisch Gladbach,False,Vendôme,50.9665691,7.1604778,2,0,https://guide.michelin.com/de/de/nordrhein-westfalen/bergisch-gladbach/restaurant/vendome,https://www.althoffcollection.com/de/althoff-grandhotel-schloss-bensberg,geschlossen,geschlossen,19:00-21:00,19:00-21:00,19:00-21:00,19:00-21:00,19:00-21:00,5.0,1,1,1,0,0,1,0,0,0,0
863,153,13,180.0,275.0,Französisch modern,de,Bayern,,80809,Bobby Bräuer,München,False,EssZimmer,48.1766707,11.557409,2,0,https://guide.michelin.com/de/de/bayern/mnchen/restaurant/esszimmer236176,https://www.feinkost-kaefer.de/esszimmer-muenchen,geschlossen,19:00-00:00,19:00-00:00,19:00-00:00,19:00-00:00,19:00-00:00,geschlossen,5.0,1,1,1,0,0,0,1,1,0,0
864,154,14,214.0,284.0,Kreativ,de,Schleswig-Holstein,Nordfriesland,25980,Jan-Phillip Berner,Rantum,False,Söl'ring Hof,54.8536822,8.2887697,2,0,https://guide.michelin.com/de/de/schleswig-holstein/rantum/restaurant/sol-ring-hof,https://www.soelring-hof.de/,,,,,,,,,1,0,0,1,0,1,0,0,0,0
871,161,1,155.0,195.0,Französisch klassisch,de,Rheinland-Pfalz,Landkreis Ahrweiler,53474,Hans Stefan Steinheuer,Bad Neuenahr-Ahrweiler,False,Steinheuers Restaurant Zur Alten Post,50.5509788,7.1642775,2,0,https://guide.michelin.com/de/de/rheinland-pfalz/bad-neuenahr-ahrweiler/restaurant/steinheuers-restaurant-zur-alten-post,https://www.steinheuers.de/,,,,,,,,,1,0,0,0,1,0,0,1,0,0
880,171,11,145.0,198.0,Französisch klassisch,de,Baden-Württemberg,Ortenaukreis,77740,Martin Herrmann,Bad Peterstal,False,Le Pavillon,48.4574092,8.2507048,2,0,https://guide.michelin.com/de/de/baden-wurttemberg/bad-peterstal/restaurant/le-pavillon83378,https://www.dollenberg.de,18:30-23:00,geschlossen,geschlossen,18:30-23:00,18:30-23:00,18:30-23:00,18:30-23:00,5.0,1,0,1,1,1,0,0,1,0,0
882,174,14,160.0,250.0,Kreativ,de,Bayern,,80331,Christoph Kunz,München,False,Alois - Dallmayr Fine Dining,48.1383054,11.5771585,2,0,https://guide.michelin.com/de/de/bayern/mnchen/restaurant/alois-dallmayr-fine-dining,https://www.dallmayr.com/de/delikatessenhaus/restaurant/,geschlossen,geschlossen,18:30-00:00,18:30-00:00,18:30-00:00,18:30-00:00,geschlossen,4.0,1,0,0,0,0,1,0,0,0,0
886,178,18,110.0,195.0,Innovativ,de,Bayern,,90403,Andree Köthe,Nürnberg,False,Essigbrätlein,49.455062,11.0748188,2,1,https://guide.michelin.com/de/de/bayern/nurnberg/restaurant/essigbratlein,https://essigbraetlein.de/,geschlossen,geschlossen,19:00-00:00,19:00-00:00,19:00-00:00,19:00-00:00,geschlossen,4.0,0,1,0,0,0,0,0,0,0,1
890,182,2,205.0,295.0,Kreativ,de,Saarland,Nennig,66706,Christian Bau,Perl,False,Victor's Fine Dining by christian bau,49.5351732,6.3872109,3,0,https://guide.michelin.com/de/de/saarland/perl/restaurant/victor-s-fine-dining-by-christian-bau,https://www.victors-fine-dining.de/,geschlossen,geschlossen,geschlossen,19:00-00:00,19:00-00:00,19:00-00:00,19:00-00:00,4.0,1,0,0,0,0,1,0,0,1,0
902,194,14,189.0,229.0,Moderne Küche,de,Bayern,Landkreis Garmisch-Partenkirchen,82493,Christoph Rainer,Krün,False,Luce d'Oro,47.4620032,11.1869112,2,0,https://guide.michelin.com/de/de/bayern/krn/restaurant/luce-d-oro,https://www.schloss-elmau.de/,geschlossen,geschlossen,19:00-23:00,19:00-23:00,19:00-23:00,19:00-23:00,geschlossen,4.0,1,0,0,0,0,0,1,0,0,0
905,197,17,169.0,189.0,Moderne Küche,de,,,20354,Julian Stowasser,Hamburg,False,Lakeside,53.565225,9.9980345,2,0,https://guide.michelin.com/de/de/hamburg-region/hamburg/restaurant/lakeside,https://www.thefontenay.com/restaurants-bar/lakeside-restaurant/,geschlossen,19:00-00:00,19:00-00:00,19:00-00:00,19:00-00:00,19:00-00:00,geschlossen,5.0,1,0,0,1,0,0,1,0,0,0
910,202,2,190.0,240.0,Französisch kreativ,de,Baden-Württemberg,Landkreis Konstanz,78464,Dirk Hoberg,Konstanz,False,Ophelia,47.6671426,9.1874594,2,0,https://guide.michelin.com/de/de/baden-wurttemberg/konstanz/restaurant/ophelia,https://www.restaurant-ophelia.de/,19:00-20:00,geschlossen,geschlossen,19:00-20:00,19:00-20:00,19:00-20:00,19:00-20:00,5.0,0,0,0,1,0,1,0,1,0,0
916,210,10,99.0,262.0,Kreativ,de,Sachsen,,4105,Peter Maria Schnurr,Leipzig,False,Falco,51.3463665,12.3754206,2,0,https://guide.michelin.com/de/de/sachsen/leipzig/restaurant/falco,https://falco-leipzig.de/,geschlossen,18:00-22:00,18:00-22:00,18:00-22:00,18:00-22:00,18:00-22:00,geschlossen,5.0,1,0,0,1,0,1,0,0,0,0
921,215,15,215.0,250.0,Französisch kreativ,de,,,20354,Christoph Rüffer,Hamburg,False,Haerlin,53.5554424,9.9914638,2,0,https://guide.michelin.com/de/de/hamburg-region/hamburg/restaurant/haerlin,https://restaurant-haerlin.de/de/,geschlossen,geschlossen,geschlossen,geschlossen,geschlossen,geschlossen,geschlossen,0.0,1,0,1,1,0,1,0,1,0,0
936,233,13,175.0,190.0,Kreativ,de,Niedersachsen,Region Hannover,30171,Tony Hohlfeld,Hannover,False,Jante,52.3701441,9.7607489,2,0,https://guide.michelin.com/de/de/niedersachsen/hannover/restaurant/jante,https://www.jante-restaurant.de/,geschlossen,geschlossen,18:00-22:00,18:00-22:00,18:00-22:00,18:00-22:00,geschlossen,4.0,0,1,0,0,0,1,0,0,0,0
944,242,2,40.0,130.0,Moderne Küche,de,Baden-Württemberg,,76135,Thorsten Bender,Karlsruhe,False,sein,49.0062467,8.3818104,2,0,https://guide.michelin.com/de/de/baden-wurttemberg/karlsruhe/restaurant/sein,https://www.restaurant-sein.de,geschlossen,geschlossen,18:30-23:30,18:30-23:30,18:30-23:30,18:30-23:30,18:30-23:30,5.0,0,0,0,0,0,0,1,0,0,0
945,245,5,230.0,260.0,Moderne Küche,de,Nordrhein-Westfalen,,50678,Daniel Gottschlich,Köln,False,Ox & Klee,50.9274173,6.9657432,2,0,https://guide.michelin.com/de/de/nordrhein-westfalen/koln/restaurant/ox-klee,https://oxundklee.de/,geschlossen,geschlossen,18:30-00:00,18:30-00:00,18:30-00:00,18:30-00:00,geschlossen,4.0,0,1,0,0,0,0,1,0,0,0
954,256,16,145.0,195.0,Moderne Küche,de,Baden-Württemberg,Schwarzwald-Baar-Kreis,78166,Manuel Ulrich,Donaueschingen,False,Ösch Noir,47.9655184,8.5471151,2,0,https://guide.michelin.com/de/de/baden-wurttemberg/donaueschingen/restaurant/osch-noir,https://www.oeschberghof.com/restaurants-bars/oesch-noir,geschlossen,geschlossen,19:00-21:00,19:00-21:00,19:00-21:00,19:00-21:00,19:00-21:00,5.0,1,1,1,0,0,0,1,0,0,0
965,270,10,150.0,250.0,Kreativ,de,,,10117,Hendrik Otto,Berlin,False,Lorenz Adlon Esszimmer,52.5159333,13.380011,2,0,https://guide.michelin.com/de/de/berlin-region/berlin/restaurant/lorenz-adlon-esszimmer,https://www.lorenzadlon-esszimmer.de/,geschlossen,geschlossen,19:00-23:00,19:00-23:00,19:00-23:00,19:00-23:00,geschlossen,4.0,1,0,1,0,0,1,0,0,0,0
967,273,13,198.0,238.0,Kreativ,de,Bayern,Landkreis Schwandorf,92431,Hubert Obendorfer,Neunburg vorm Wald,False,Obendorfers Eisvogel,49.3383934,12.2619376,2,0,https://guide.michelin.com/de/de/bayern/neunburg-vorm-wald/restaurant/obendorfer-s-eisvogel,https://www.der-birkenhof.de/,geschlossen,18:00-00:00,18:00-00:00,18:00-00:00,18:00-00:00,18:00-00:00,geschlossen,5.0,0,0,1,1,0,1,0,0,0,0
